lead_id,nome_contato,cargo,empresa,setor,trilha,oferta_principal,origem,responsavel_sdr,status_funil,data_criacao,icp_fit_score,modo
150,Srta. Luara Campos,Gestor de Infraestrutura,Novaes,Geral,T-GESTAO,Otimizacao de nuvem e licenciamento,Outbound,Juliana Prado,Perdido,2026-08-13,5,Lead a lead
151,Dra. Ester Correia,Coordenador de TI,Gomes - ME,Geral,T-INFRA,Outsourcing e alocacao de especialistas,Evento,Camila Rocha,Perdido,2026-03-29,5,Lead a lead
152,Rodrigo da Mota,Coordenador de TI,Cardoso Ribeiro - ME,Geral,T-INFRA,Outsourcing e alocacao de especialistas,Inbound,Rafael Souza,Qualificando,2026-07-23,1,Lead a lead
153,Dra. Valentina Peixoto,Gestor de Infraestrutura,Ferreira,Geral,T-GESTAO,Otimizacao de nuvem e licenciamento,Inbound,Rafael Souza,Perdido,2026-07-06,5,Lead a lead
154,Carlos Eduardo Correia,Gestor de Infraestrutura,Pastor - ME,Geral,T-GESTAO,Otimizacao de nuvem e licenciamento,Indicacao,Camila Rocha,Novo,2026-04-13,3,Lead a lead
155,Ian Fonseca,Gerente Financeiro,Porto,Financeiro,T-FIN,FinOps e contrato unico,Evento,Camila Rocha,Novo,2026-08-10,1,Account-based
156,Kevin Albuquerque,Coordenador de Suporte,Rodrigues e Filhos,Geral,T-INFRA,Outsourcing e alocacao de especialistas,Evento,Fernanda Lima,Novo,2026-05-31,3,Lead a lead
157,Dra. Carolina da Mota,Analista de Dados,Oliveira,Financeiro,T-DADOS,Plataforma de dados e governanca,Outbound,Camila Rocha,Qualificando,2026-08-06,4,Lead a lead
158,Benjamim Novaes,IT Manager,Rezende Monteiro - ME,Geral,T-GESTAO,Otimizacao de nuvem e licenciamento,Outbound,Fernanda Lima,Qualificando,2026-07-22,3,Lead a lead
159,Davi Lucas Porto,Head de Dados,Araújo - ME,Geral,T-DADOS,Plataforma de dados e governanca,Outbound,Bruno Alves,Qualificando,2026-06-29,5,Account-based
160,Bella Albuquerque,Coordenador de TI,Pereira e Filhos,Geral,T-INFRA,Outsourcing e alocacao de especialistas,Indicacao,Fernanda Lima,Qualificando,2026-08-11,1,Account-based
161,Larissa Melo,IT Manager,Nascimento,Financeiro,T-GESTAO,Otimizacao de nuvem e licenciamento,Inbound,Juliana Prado,Qualificado,2026-06-10,3,Lead a lead
162,Maysa Fernandes,Coordenador de Suporte,Montenegro Caldeira e Filhos,Financeiro,T-INFRA,Outsourcing e alocacao de especialistas,Evento,Camila Rocha,Perdido,2026-09-11,5,Lead a lead
163,Benjamim da Cunha,IT Manager,Fogaça,Geral,T-GESTAO,Otimizacao de nuvem e licenciamento,Indicacao,Camila Rocha,Qualificando,2026-06-01,3,Account-based
164,Bruna Azevedo,Coordenador de Suporte,Azevedo Peixoto S/A,Geral,T-INFRA,Outsourcing e alocacao de especialistas,Indicacao,Camila Rocha,Qualificando,2026-03-23,1,Account-based
165,Rebeca Barbosa,Coordenador de Suporte,Silva das Neves - ME,Geral,T-INFRA,Outsourcing e alocacao de especialistas,Evento,Fernanda Lima,Reuniao Agendada,2026-08-26,2,Lead a lead
166,Ana Júlia Cassiano,Coordenador de TI,da Luz Moura - EI,Financeiro,T-INFRA,Outsourcing e alocacao de especialistas,Outbound,Juliana Prado,Qualificado,2026-04-06,3,Account-based
167,Kevin Barros,Gestor de Infraestrutura,Rodrigues Duarte S/A,Financeiro,T-GESTAO,Otimizacao de nuvem e licenciamento,Inbound,Fernanda Lima,Novo,2026-08-20,5,Account-based
168,Dante Novais,Coordenador de Suporte,Brito Garcia Ltda.,Financeiro,T-INFRA,Outsourcing e alocacao de especialistas,Evento,Rafael Souza,Reuniao Agendada,2026-04-08,5,Lead a lead
169,Heloisa Vasconcelos,Gestor de Infraestrutura,Fogaça,Geral,T-GESTAO,Otimizacao de nuvem e licenciamento,Indicacao,Fernanda Lima,Novo,2026-04-09,1,Account-based
170,Maria Helena Machado,Gestor de Infraestrutura,da Rocha Cunha S/A,Geral,T-GESTAO,Otimizacao de nuvem e licenciamento,Outbound,Fernanda Lima,Qualificado,2026-07-07,3,Account-based
171,Letícia Pastor,Gerente de TI,Novaes,Financeiro,T-GESTAO,Otimizacao de nuvem e licenciamento,Outbound,Camila Rocha,Qualificado,2026-07-04,5,Lead a lead
172,Lorena Nunes,Gestor de Infraestrutura,da Rocha Cunha S/A,Geral,T-GESTAO,Otimizacao de nuvem e licenciamento,Evento,Juliana Prado,Reuniao Agendada,2026-09-05,3,Account-based
173,Ana Liz Pimenta,Gestor de Infraestrutura,Câmara,Financeiro,T-GESTAO,Otimizacao de nuvem e licenciamento,Outbound,Fernanda Lima,Perdido,2026-05-23,1,Lead a lead
174,Srta. Giovanna Pires,Gerente de TI,Andrade Dias - ME,Financeiro,T-GESTAO,Otimizacao de nuvem e licenciamento,Evento,Juliana Prado,Qualificado,2026-05-26,2,Lead a lead
175,João Ribeiro,IT Manager,Lopes,Geral,T-GESTAO,Otimizacao de nuvem e licenciamento,Outbound,Fernanda Lima,Novo,2026-06-21,1,Lead a lead
176,Emanuel da Costa,IT Manager,Azevedo,Geral,T-GESTAO,Otimizacao de nuvem e licenciamento,Inbound,Fernanda Lima,Novo,2026-03-31,2,Lead a lead
177,Yuri Barbosa,Gerente Financeiro,Cirino,Geral,T-FIN,FinOps e contrato unico,Evento,Bruno Alves,Qualificado,2026-03-30,1,Lead a lead
178,Alexandre Jesus,Coordenadora de Infraestrutura,da Rocha Cunha S/A,Geral,T-INFRA,Outsourcing e alocacao de especialistas,Inbound,Juliana Prado,Novo,2026-06-23,4,Account-based
179,Olivia da Rocha,Gerente de TI,Pacheco,Geral,T-GESTAO,Otimizacao de nuvem e licenciamento,Inbound,Fernanda Lima,Perdido,2026-07-31,4,Lead a lead
180,Igor da Paz,Coordenador de TI,Abreu,Financeiro,T-INFRA,Outsourcing e alocacao de especialistas,Outbound,Juliana Prado,Reuniao Agendada,2026-07-02,5,Lead a lead
181,Sra. Mirella Barbosa,Coordenadora de Infraestrutura,Jesus,Geral,T-INFRA,Outsourcing e alocacao de especialistas,Evento,Bruno Alves,Novo,2026-08-13,5,Lead a lead
182,Isabel da Luz,Diretor de Tecnologia,Porto,Geral,T-EXEC,Modernizacao e IA em producao,Evento,Fernanda Lima,Reuniao Agendada,2026-09-04,2,Account-based
183,Fernanda Lima,Head de Produto,Guerra Araújo S.A.,Geral,T-PROD,IA embarcada no produto,Inbound,Juliana Prado,Qualificando,2026-05-24,4,Lead a lead
184,Yago Câmara,CFO,Caldeira,Geral,T-FIN,FinOps e contrato unico,Evento,Rafael Souza,Reuniao Agendada,2026-04-22,4,Account-based
185,Clarice da Mata,IT Manager,Montenegro,Financeiro,T-GESTAO,Otimizacao de nuvem e licenciamento,Inbound,Fernanda Lima,Novo,2026-07-26,4,Account-based
186,Brayan Araújo,CTO,Pacheco Peixoto S/A,Geral,T-EXEC,Modernizacao e IA em producao,Outbound,Fernanda Lima,Novo,2026-05-06,2,Lead a lead
187,Leandro Peixoto,Coordenador de Suporte,Azevedo Peixoto S/A,Financeiro,T-INFRA,Outsourcing e alocacao de especialistas,Outbound,Bruno Alves,Perdido,2026-05-27,3,Account-based
188,Dra. Laura Macedo,Gerente Financeiro,Vargas,Financeiro,T-FIN,FinOps e contrato unico,Indicacao,Bruno Alves,Qualificando,2026-05-10,1,Lead a lead
189,Ravi Lucca Sales,Gerente de TI,Freitas da Paz S.A.,Geral,T-GESTAO,Otimizacao de nuvem e licenciamento,Indicacao,Bruno Alves,Novo,2026-08-21,3,Lead a lead
190,Nathan da Mata,Gerente Financeiro,Azevedo Peixoto S/A,Geral,T-FIN,FinOps e contrato unico,Evento,Rafael Souza,Qualificado,2026-08-11,1,Account-based
191,Ágatha Monteiro,Coordenador de TI,Câmara Azevedo Ltda.,Financeiro,T-INFRA,Outsourcing e alocacao de especialistas,Evento,Camila Rocha,Reuniao Agendada,2026-04-13,2,Lead a lead
192,Anna Liz Peixoto,Coordenador de TI,Marques Abreu e Filhos,Geral,T-INFRA,Outsourcing e alocacao de especialistas,Evento,Camila Rocha,Novo,2026-04-05,4,Account-based
193,Pedro Sousa,Gerente de TI,da Luz Moura - EI,Geral,T-GESTAO,Otimizacao de nuvem e licenciamento,Inbound,Bruno Alves,Qualificando,2026-04-21,1,Account-based
194,Dr. Apollo Borges,Gerente de TI,Marques Abreu e Filhos,Geral,T-GESTAO,Otimizacao de nuvem e licenciamento,Outbound,Juliana Prado,Perdido,2026-07-30,1,Account-based
195,Antônio Teixeira,Product Manager,Rios Silva Ltda.,Geral,T-PROD,IA embarcada no produto,Outbound,Rafael Souza,Perdido,2026-05-18,3,Account-based
196,Juliana Oliveira,Coordenador de Analytics,Vieira Rodrigues - ME,Financeiro,T-DADOS,Plataforma de dados e governanca,Outbound,Juliana Prado,Reuniao Agendada,2026-07-16,3,Lead a lead
197,Erick Melo,Coordenadora de Infraestrutura,Cassiano e Filhos,Geral,T-INFRA,Outsourcing e alocacao de especialistas,Inbound,Rafael Souza,Perdido,2026-04-04,4,Lead a lead
198,Melina da Mota,Data Engineer,Barbosa Macedo - EI,Financeiro,T-DADOS,Plataforma de dados e governanca,Outbound,Fernanda Lima,Qualificando,2026-05-21,2,Lead a lead
199,Pedro Henrique Porto,Gerente Financeiro,da Luz Moura - EI,Geral,T-FIN,FinOps e contrato unico,Evento,Fernanda Lima,Novo,2026-06-06,2,Account-based
200,Ayla Melo,Coordenador de TI,Sá S/A,Geral,T-INFRA,Outsourcing e alocacao de especialistas,Outbound,Fernanda Lima,Qualificando,2026-07-08,4,Lead a lead
201,Dr. Lucas Gabriel Duarte,Head de Dados,Porto,Geral,T-DADOS,Plataforma de dados e governanca,Evento,Fernanda Lima,Perdido,2026-05-11,5,Account-based
202,Bella Castro,Coordenador de TI,Montenegro,Geral,T-INFRA,Outsourcing e alocacao de especialistas,Evento,Juliana Prado,Perdido,2026-08-26,2,Account-based
203,Dr. Thales da Paz,IT Manager,Sampaio Lima Ltda.,Financeiro,T-GESTAO,Otimizacao de nuvem e licenciamento,Indicacao,Fernanda Lima,Qualificando,2026-06-24,4,Lead a lead
204,Maria Liz Teixeira,Coordenadora de Infraestrutura,Cassiano Freitas S.A.,Geral,T-INFRA,Outsourcing e alocacao de especialistas,Indicacao,Juliana Prado,Perdido,2026-09-05,3,Lead a lead
205,Ana Carolina Marques,Analista de Dados,Araújo - ME,Financeiro,T-DADOS,Plataforma de dados e governanca,Evento,Fernanda Lima,Qualificado,2026-04-05,2,Account-based
206,Levi da Cunha,Product Manager,Caldeira,Geral,T-PROD,IA embarcada no produto,Outbound,Bruno Alves,Novo,2026-05-26,3,Account-based
207,Sr. Nathan Moraes,Gestor de Infraestrutura,Nogueira Cardoso e Filhos,Financeiro,T-GESTAO,Otimizacao de nuvem e licenciamento,Evento,Fernanda Lima,Qualificando,2026-08-07,1,Lead a lead
208,Vitor Hugo Martins,Gestor de Infraestrutura,Vargas,Geral,T-GESTAO,Otimizacao de nuvem e licenciamento,Indicacao,Bruno Alves,Perdido,2026-06-27,1,Lead a lead
209,Ana Júlia Correia,Head de Dados,Rodrigues - EI,Geral,T-DADOS,Plataforma de dados e governanca,Outbound,Fernanda Lima,Reuniao Agendada,2026-04-25,4,Lead a lead
210,Maria Cecília Pinto,Coordenador de Suporte,Carvalho,Geral,T-INFRA,Outsourcing e alocacao de especialistas,Inbound,Camila Rocha,Novo,2026-05-13,1,Account-based
211,Melina Teixeira,Gestor de Infraestrutura,Cassiano,Geral,T-GESTAO,Otimizacao de nuvem e licenciamento,Indicacao,Fernanda Lima,Reuniao Agendada,2026-03-25,5,Account-based
212,Gustavo da Mata,IT Manager,Barbosa Macedo - EI,Financeiro,T-GESTAO,Otimizacao de nuvem e licenciamento,Inbound,Fernanda Lima,Qualificado,2026-03-20,1,Lead a lead
213,Caroline da Paz,Product Manager,da Rocha Cunha S/A,Geral,T-PROD,IA embarcada no produto,Outbound,Fernanda Lima,Qualificado,2026-05-12,3,Account-based
214,Raquel Campos,Gestor de Infraestrutura,da Cruz,Financeiro,T-GESTAO,Otimizacao de nuvem e licenciamento,Outbound,Fernanda Lima,Qualificando,2026-08-24,4,Account-based
215,Isaque Santos,IT Manager,Abreu,Geral,T-GESTAO,Otimizacao de nuvem e licenciamento,Indicacao,Camila Rocha,Qualificando,2026-08-14,5,Lead a lead
216,Leonardo Novaes,Coordenador de Suporte,Farias S/A,Geral,T-INFRA,Outsourcing e alocacao de especialistas,Inbound,Rafael Souza,Qualificado,2026-07-31,1,Lead a lead
217,Yuri Jesus,Diretor de Tecnologia,Vargas da Rocha S/A,Geral,T-EXEC,Modernizacao e IA em producao,Indicacao,Bruno Alves,Qualificando,2026-08-05,5,Lead a lead
218,Henry Gabriel Camargo,CFO,Fogaça,Geral,T-FIN,FinOps e contrato unico,Indicacao,Bruno Alves,Qualificado,2026-04-06,5,Account-based
219,Bárbara Ramos,Gestor de Infraestrutura,Vargas da Rocha S/A,Geral,T-GESTAO,Otimizacao de nuvem e licenciamento,Inbound,Bruno Alves,Reuniao Agendada,2026-04-17,5,Lead a lead
220,Theo Silva,Coordenador de Suporte,Araújo Moraes S/A,Financeiro,T-INFRA,Outsourcing e alocacao de especialistas,Outbound,Camila Rocha,Perdido,2026-09-08,5,Lead a lead
